tradingsymbol,symboltoken,is_index
Nifty 50,99926000,False
Nifty GrowSect 15,99926001,False
Nifty50 PR 2x Lev,99926002,False
Nifty 500,99926004,False
Nifty IT,99926008,False
Nifty Bank,99926009,False
NIFTY MIDCAP 100,99926011,False
Nifty 100,99926012,False
Nifty Next 50,99926013,False
Nifty Midcap 50,99926014,False
HangSeng BeES-NAV,99926016,False
India VIX,99926017,False
Nifty Realty,99926018,False
Nifty Infra,99926019,False
Nifty Energy,99926020,False
Nifty FMCG,99926021,False
Nifty MNC,99926022,False
Nifty Pharma,99926023,False
Nifty PSE,99926024,False
Nifty PSU Bank,99926025,False
Nifty Serv Sector,99926026,False
BANKNIFTY,26009,True
Nifty Auto,99926029,False
Nifty Metal,99926030,False
Nifty Media,99926031,False
NIFTY SMLCAP 100,99926032,False
Nifty 200,99926033,False
Nifty Div Opps 50,99926034,False
Nifty Commodities,99926035,False
Nifty Consumption,99926036,False
Nifty Fin Service,99926037,False
Nifty50 Div Point,99926038,False
Nifty100 Liq 15,99926040,False
Nifty CPSE,99926041,False
Nifty50 PR 1x Inv,99926042,False
Nifty50 TR 2x Lev,99926043,False
Nifty50 TR 1x Inv,99926044,False
Nifty50 Value 20,99926045,False
Nifty Mid Liq 15,99926046,False
Nifty Pvt Bank,99926047,False
NIFTY100 Qualty30,99926048,False
Nifty GS 8 13Yr,99926049,False
Nifty GS 10Yr,99926050,False
Nifty GS 10Yr Cln,99926051,False
Nifty GS 4 8Yr,99926052,False
Nifty GS 11 15Yr,99926053,False
Nifty GS 15YrPlus,99926054,False
Nifty GS Compsite,99926055,False
NIFTY50 EQL Wgt,99926056,False
NIFTY100 EQL Wgt,99926057,False
NIFTY100 LowVol30,99926058,False
NIFTY Alpha 50,99926059,False
NIFTY MIDCAP 150,99926060,False
NIFTY SMLCAP 50,99926061,False
NIFTY SMLCAP 250,99926062,False
NIFTY MIDSML 400,99926063,False
NIFTY200 QUALTY30,99926064,False
NIFTY MID SELECT,99926074,False
