symbol,symboltoken,score,interval,price,stop_price,target_price,candles,status,pnl,last_price,hit_time,mode
Nifty IT,,19.04957132193861,ONE_DAY,35440.85,34377.6245,37567.301,"                               open      high       low     close  volume      ema_fast      ema_slow         atr        adx
timestamp                                                                                                                   
2024-08-26 00:00:00+05:30  41343.45  41820.90  41319.05  41662.10       0           NaN           NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  41696.85  41936.70  41589.85  41709.25       0           NaN           NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  41792.90  42717.15  41594.90  42394.40       0           NaN           NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  42191.10  42790.30  42151.50  42591.65       0           NaN           NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  42644.10  42913.95  42455.10  42787.80       0           NaN           NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...           ...           ...         ...        ...
2025-08-18 00:00:00+05:30  35152.70  35158.70  34514.00  34634.95       0  34932.785880  35680.157083  539.581843  48.893782
2025-08-19 00:00:00+05:30  34618.85  34825.30  34549.05  34756.70       0  34905.695745  35611.752855  520.772425  47.788635
2025-08-20 00:00:00+05:30  34647.20  35773.65  34647.20  35690.05       0  35026.365630  35617.552643  564.035109  44.384452
2025-08-21 00:00:00+05:30  35918.80  35922.55  35461.45  35723.90       0  35133.678610  35625.430225  556.682602  41.494383
2025-08-22 00:00:00+05:30  35735.45  35767.15  35415.40  35440.85       0  35180.935747  35611.757616  542.044559  38.711992

[249 rows x 9 columns]",Open,0.0,35440.85,2025-08-25 02:59:58.695611,swing
Nifty Realty,,18.653445259013555,ONE_DAY,909.65,882.3605,964.2289999999999,"                              open     high      low    close  volume    ema_fast    ema_slow        atr        adx
timestamp                                                                                                          
2024-08-26 00:00:00+05:30  1023.10  1038.05  1011.75  1036.00       0         NaN         NaN   0.000000   0.000000
2024-08-27 00:00:00+05:30  1036.65  1049.00  1033.70  1038.10       0         NaN         NaN   0.000000   0.000000
2024-08-28 00:00:00+05:30  1040.30  1044.70  1027.45  1036.20       0         NaN         NaN   0.000000   0.000000
2024-08-29 00:00:00+05:30  1036.35  1039.25  1028.90  1034.50       0         NaN         NaN   0.000000   0.000000
2024-08-30 00:00:00+05:30  1039.10  1058.40  1039.10  1053.40       0         NaN         NaN   0.000000   0.000000
...                            ...      ...      ...      ...     ...         ...         ...        ...        ...
2025-08-18 00:00:00+05:30   890.25   906.95   887.60   898.45       0  899.175828  922.132230  18.980226  44.390014
2025-08-19 00:00:00+05:30   900.25   905.25   889.65   904.30       0  899.964163  920.811324  18.738781  44.191894
2025-08-20 00:00:00+05:30   905.45   916.90   902.40   913.85       0  902.100445  920.295671  18.436011  42.794322
2025-08-21 00:00:00+05:30   917.75   930.50   915.30   917.35       0  904.446531  920.077473  18.308439  40.329880
2025-08-22 00:00:00+05:30   918.50   919.25   908.50   909.65       0  905.247064  919.305067  17.768550  38.473282

[249 rows x 9 columns]",Open,0.0,909.65,2025-08-25 02:59:58.695611,swing
Nifty Energy,,17.832157697224524,ONE_DAY,34507.6,33472.371999999996,36578.056,"                               open      high       low     close  volume      ema_fast      ema_slow         atr        adx
timestamp                                                                                                                   
2024-08-26 00:00:00+05:30  43555.80  43864.45  43415.60  43792.05       0           NaN           NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  43794.20  43870.55  43483.65  43523.70       0           NaN           NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  43591.30  43652.50  43358.60  43398.10       0           NaN           NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  43401.40  43751.60  43170.05  43661.10       0           NaN           NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  43938.80  44059.75  43668.25  43757.40       0           NaN           NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...           ...           ...         ...        ...
2025-08-18 00:00:00+05:30  34812.70  34822.50  34364.55  34483.20       0  34789.919072  35176.834049  381.735511  35.381741
2025-08-19 00:00:00+05:30  34561.50  34789.70  34499.25  34768.10       0  34786.562292  35146.557453  376.361546  36.040575
2025-08-20 00:00:00+05:30  34766.60  34939.75  34766.20  34847.85       0  34795.991170  35124.430975  361.875007  35.925357
2025-08-21 00:00:00+05:30  34906.75  34987.05  34658.70  34681.60       0  34778.392528  35091.628681  359.480363  36.059614
2025-08-22 00:00:00+05:30  34687.25  34729.85  34477.90  34507.60       0  34736.732139  35048.367297  351.799623  36.563361

[249 rows x 9 columns]",Open,0.0,34507.6,2025-08-25 02:59:58.695611,swing
NIFTY Alpha 50,,17.56399114253299,ONE_DAY,51222.6,49685.922,54295.956,"                               open      high       low     close  volume      ema_fast      ema_slow         atr        adx
timestamp                                                                                                                   
2024-08-26 00:00:00+05:30  59758.10  59796.90  59423.60  59587.05       0           NaN           NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  59735.60  59914.80  59614.15  59720.45       0           NaN           NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  60050.45  60369.85  59819.50  60111.15       0           NaN           NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  60255.40  60395.25  59547.45  59932.80       0           NaN           NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  60284.55  60462.45  59817.55  60274.95       0           NaN           NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...           ...           ...         ...        ...
2025-08-18 00:00:00+05:30  50953.20  51208.40  50745.85  50806.25       0  50784.461749  51393.655732  758.946374  41.103786
2025-08-19 00:00:00+05:30  50962.45  51185.95  50604.20  51147.60       0  50840.329172  51375.429382  746.289490  40.376524
2025-08-20 00:00:00+05:30  51235.70  51475.45  51110.35  51353.65       0  50919.301607  51373.816094  719.061669  39.128644
2025-08-21 00:00:00+05:30  51611.55  51743.65  51222.95  51250.90       0  50970.316745  51364.711198  704.892979  37.464504
2025-08-22 00:00:00+05:30  51306.10  51496.90  51198.20  51222.60       0  51009.129553  51354.184443  675.879195  35.953431

[249 rows x 9 columns]",Open,0.0,51222.6,2025-08-25 02:59:58.695611,swing
Nifty CPSE,,16.875774843971048,ONE_DAY,6281.1,6092.667,6657.966,"                              open     high      low    close  volume     ema_fast     ema_slow        atr        adx
timestamp                                                                                                            
2024-08-26 00:00:00+05:30  7377.45  7437.50  7363.80  7429.00       0          NaN          NaN   0.000000   0.000000
2024-08-27 00:00:00+05:30  7447.30  7477.40  7363.35  7373.25       0          NaN          NaN   0.000000   0.000000
2024-08-28 00:00:00+05:30  7388.30  7412.65  7343.95  7360.65       0          NaN          NaN   0.000000   0.000000
2024-08-29 00:00:00+05:30  7347.00  7376.70  7263.80  7355.30       0          NaN          NaN   0.000000   0.000000
2024-08-30 00:00:00+05:30  7388.20  7451.65  7376.60  7401.30       0          NaN          NaN   0.000000   0.000000
...                            ...      ...      ...      ...     ...          ...          ...        ...        ...
2025-08-18 00:00:00+05:30  6400.50  6409.30  6352.25  6369.20       0  6376.143851  6424.154205  67.240559  32.568989
2025-08-19 00:00:00+05:30  6379.95  6386.75  6325.10  6344.15       0  6371.221720  6418.227967  66.841234  32.805076
2025-08-20 00:00:00+05:30  6367.15  6372.15  6334.85  6348.35       0  6367.702994  6413.051822  64.731146  33.024298
2025-08-21 00:00:00+05:30  6345.90  6368.50  6303.90  6308.50       0  6358.594841  6405.307242  64.721778  33.599775
2025-08-22 00:00:00+05:30  6305.55  6316.85  6275.45  6281.10       0  6346.672558  6396.106706  63.055937  34.447254

[249 rows x 9 columns]",Open,0.0,6281.1,2025-08-25 02:59:58.695611,swing
Nifty PSE,,16.81571222587801,ONE_DAY,9471.3,9187.161,10039.578,"                               open      high       low     close  volume     ema_fast     ema_slow         atr        adx
timestamp                                                                                                                 
2024-08-26 00:00:00+05:30  11400.00  11454.00  11354.90  11444.60       0          NaN          NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  11453.95  11486.85  11410.35  11431.40       0          NaN          NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  11448.45  11480.35  11386.40  11400.75       0          NaN          NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  11402.65  11449.75  11276.05  11423.65       0          NaN          NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  11473.85  11564.90  11459.30  11493.60       0          NaN          NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...          ...          ...         ...        ...
2025-08-18 00:00:00+05:30   9653.20   9657.15   9531.05   9547.25       0  9625.123502  9727.947405  112.066911  33.260870
2025-08-19 00:00:00+05:30   9565.45   9574.95   9500.00   9562.90       0  9615.550656  9715.721671  109.415703  33.875220
2025-08-20 00:00:00+05:30   9606.10   9615.00   9560.60   9567.40       0  9608.142862  9704.734881  105.486010  33.804388
2025-08-21 00:00:00+05:30   9577.15   9604.15   9517.45   9522.70       0  9594.997807  9691.250815  104.144152  34.066569
2025-08-22 00:00:00+05:30   9521.80   9535.00   9464.95   9471.30       0  9575.967375  9674.958162  101.708856  34.677407

[249 rows x 9 columns]",Open,0.0,9471.3,2025-08-25 02:59:58.695611,swing
NIFTY SMLCAP 50,,16.074707404315625,ONE_DAY,8628.05,8369.208499999999,9145.733,"                              open     high      low    close  volume     ema_fast     ema_slow         atr        adx
timestamp                                                                                                             
2024-08-26 00:00:00+05:30  9099.40  9114.25  9054.05  9068.15       0          NaN          NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  9090.75  9171.55  9069.65  9163.10       0          NaN          NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  9187.05  9187.05  9116.50  9142.50       0          NaN          NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  9150.55  9161.00  9044.30  9090.75       0          NaN          NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  9138.80  9205.95  9102.70  9168.95       0          NaN          NaN    0.000000   0.000000
...                            ...      ...      ...      ...     ...          ...          ...         ...        ...
2025-08-18 00:00:00+05:30  8611.40  8643.60  8555.20  8618.10       0  8589.616971  8717.982293  119.724268  37.989873
2025-08-19 00:00:00+05:30  8633.20  8680.80  8593.05  8675.90       0  8602.891283  8714.865086  117.440391  36.882393
2025-08-20 00:00:00+05:30  8693.45  8706.65  8648.55  8688.10       0  8616.000317  8712.882487  113.201792  35.540985
2025-08-21 00:00:00+05:30  8718.60  8729.80  8646.50  8651.70       0  8621.492576  8708.350451  111.065950  34.014002
2025-08-22 00:00:00+05:30  8655.00  8665.00  8617.00  8628.05       0  8622.501410  8702.402270  106.561239  32.864463

[249 rows x 9 columns]",Open,0.0,8628.05,2025-08-25 02:59:58.695611,swing
Nifty Midcap 50,,15.994626310887853,ONE_DAY,16306.85,15817.6445,17285.261,"                               open      high       low     close  volume      ema_fast      ema_slow         atr        adx
timestamp                                                                                                                   
2024-08-26 00:00:00+05:30  16549.65  16599.30  16508.20  16558.00       0           NaN           NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  16603.60  16629.55  16546.10  16581.00       0           NaN           NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  16622.15  16655.55  16516.50  16586.20       0           NaN           NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  16591.90  16598.00  16402.35  16514.70       0           NaN           NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  16592.75  16678.00  16560.65  16618.80       0           NaN           NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...           ...           ...         ...        ...
2025-08-18 00:00:00+05:30  16092.75  16215.65  16076.75  16136.95       0  16059.730162  16211.757695  212.344890  40.202974
2025-08-19 00:00:00+05:30  16177.45  16314.15  16091.90  16299.35       0  16096.594753  16218.246014  213.052398  38.637760
2025-08-20 00:00:00+05:30  16299.40  16419.85  16253.90  16392.35       0  16142.095560  16231.142606  209.687941  36.382706
2025-08-21 00:00:00+05:30  16441.10  16456.45  16308.65  16316.60       0  16168.942397  16237.472783  205.267374  34.027404
2025-08-22 00:00:00+05:30  16341.50  16372.15  16285.75  16306.85       0  16190.158951  16242.611836  196.776847  31.995617

[249 rows x 9 columns]",Open,0.0,16306.85,2025-08-25 02:59:58.695611,swing
Nifty GS 10Yr Cln,,15.748071131398671,ONE_DAY,899.59,872.6023,953.5654000000001,"                             open    high     low   close  volume    ema_fast    ema_slow       atr        adx
timestamp                                                                                                     
2024-08-26 00:00:00+05:30  886.91  887.59  886.91  887.46       0         NaN         NaN  0.000000   0.000000
2024-08-27 00:00:00+05:30  887.39  887.39  886.85  886.85       0         NaN         NaN  0.000000   0.000000
2024-08-28 00:00:00+05:30  886.76  887.09  886.48  886.74       0         NaN         NaN  0.000000   0.000000
2024-08-29 00:00:00+05:30  886.75  886.75  886.35  886.57       0         NaN         NaN  0.000000   0.000000
2024-08-30 00:00:00+05:30  886.60  886.72  886.18  886.61       0         NaN         NaN  0.000000   0.000000
...                           ...     ...     ...     ...     ...         ...         ...       ...        ...
2025-08-18 00:00:00+05:30  909.20  909.20  904.16  904.34       0  908.559171  911.013359  2.749278  28.734126
2025-08-19 00:00:00+05:30  903.42  903.42  899.87  902.38       0  907.608529  910.373851  2.872187  29.622853
2025-08-20 00:00:00+05:30  902.24  903.84  901.69  903.16       0  906.924140  909.839491  2.820602  30.219108
2025-08-21 00:00:00+05:30  903.16  903.42  900.96  901.15       0  906.035811  909.195825  2.794845  30.953423
2025-08-22 00:00:00+05:30  901.29  901.29  898.91  899.59       0  905.044148  908.484283  2.765213  32.101811

[242 rows x 9 columns]",Open,0.0,899.59,2025-08-25 02:59:58.695611,swing
NIFTY MIDCAP 100,,15.682985797163312,ONE_DAY,57629.75,55900.8575,61087.535,"                               open      high       low     close  volume      ema_fast      ema_slow         atr        adx
timestamp                                                                                                                   
2024-08-26 00:00:00+05:30  58847.50  58996.50  58664.30  58931.15       0           NaN           NaN    0.000000   0.000000
2024-08-27 00:00:00+05:30  59086.45  59260.15  58985.75  59220.25       0           NaN           NaN    0.000000   0.000000
2024-08-28 00:00:00+05:30  59388.80  59412.70  58942.65  59146.40       0           NaN           NaN    0.000000   0.000000
2024-08-29 00:00:00+05:30  59231.00  59269.85  58522.95  58883.95       0           NaN           NaN    0.000000   0.000000
2024-08-30 00:00:00+05:30  59153.85  59472.55  58982.80  59286.65       0           NaN           NaN    0.000000   0.000000
...                             ...       ...       ...       ...     ...           ...           ...         ...        ...
2025-08-18 00:00:00+05:30  57105.90  57451.50  57037.15  57113.15       0  56965.954309  57522.927238  715.214062  39.541560
2025-08-19 00:00:00+05:30  57250.65  57697.50  56923.15  57664.65       0  57073.445954  57533.425220  719.438058  38.028362
2025-08-20 00:00:00+05:30  57684.45  58009.50  57529.25  57930.50       0  57205.300422  57562.838167  702.353196  35.917377
2025-08-21 00:00:00+05:30  58112.20  58204.25  57681.70  57708.95       0  57282.784973  57573.661265  689.510111  33.545409
2025-08-22 00:00:00+05:30  57759.10  57868.65  57577.65  57629.75       0  57336.164208  57577.815986  661.045103  31.549055

[249 rows x 9 columns]",Open,0.0,57629.75,2025-08-25 02:59:58.695611,swing
